id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;repurpose withdrawal;2021-06-13T06:30:45;71697;45464
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;withdrawal;2021-06-13T10:27:37;75289;21024
3;Valéry;Aubry;Adalsinde.Perrin@gmail.com;Sleek;2021-06-12T19:31:01;71090;65309
4;Auguste;Roussel;Alaine.Sanchez@hotmail.fr;reinvent orchestrate;2021-06-12T15:00:38;52820;82484
5;Anastase;Fontaine;Laurence14@hotmail.fr;mobile Granite;2021-06-13T09:38:32;13439;33970
6;Adrienne;Roux;Marine.Olivier73@gmail.com;Kazakhstan time-frame;2021-06-12T18:24:44;64329;13556
7;Ernestine;Andre;Anal72@yahoo.fr;Devolved rich;2021-06-12T20:54:52;54588;45928
8;Christiane;Schneider;Astart8@yahoo.fr;payment Bretagne;2021-06-13T10:58:16;3244;21747
9;Désiré;Vasseur;Salom_Mercier98@hotmail.fr;white;2021-06-13T02:18:55;90189;81327
10;Acanthe;Rey;Aubertine79@gmail.com;Table Alsace Checking;2021-06-12T14:59:05;32637;8639
